"","site_id","latitude","longitude"
"1806",5830,32.247993,-110.910576
"1807",347,41.9772,-89.896103
"1808",6466,37.109486,-122.111435
"1809",10787,40.412285,-76.924904
"1810",11430,44.986961,-93.185822
"1811",16243,44.195461,-71.495796
"1812",17798,38.927269,-76.921043
"1813",18280,32.225227,-111.001068
"1814",18722,37.227238,-80.424202
"1815",20100,44.588882,-123.294167
"1816",20122,45.54147,-122.998642
"1817",19585,40.668793,-73.965675
"1818",20256,33.942989,-83.374893
"1819",5428,48.033489,-122.598724
"1820",20656,41.820065,-69.965591
"1821",20703,44.151691,-121.321121
"1822",20787,43.899509,-69.957726
"1823",21169,42.4506,-72.34478
"1824",21407,42.307365,-71.120773
"1825",22063,32.213646,-110.986458
"1826",22259,41.913818,-87.720345
"1827",5470,34.871006,-82.358704
"1828",22577,49.209854,-124.07132
"1829",20992,39.625526,-78.386009
"1830",22620,32.343025,-111.028534
"1831",22959,44.997921,-93.132004
"1832",23417,41.866013,-73.953369
"1833",23456,42.110558,-123.39151
"1834",23458,42.199757,-122.691467
"1835",23641,44.718273,-93.628853
"1836",23744,35.080849,-106.670029
"1837",23753,42.758427,-75.663376
"1838",23818,42.75666,-75.665657
"1839",24146,44.338104,-68.066635
"1840",24164,40.665085,-73.963432
"1841",24220,40.733047,-74.665649
"1842",24218,40.733047,-74.665649
"1843",24311,35.788307,-82.035561
"1844",24330,35.80267,-78.859688
"1845",24295,44.893097,-93.094681
"1846",24412,35.587887,-83.0709
"1847",23819,42.757748,-75.664848
"1848",24566,44.859833,-93.216568
"1849",22580,42.077522,-72.558563
"1850",24518,36.064461,-80.206207
"1851",24680,36.044003,-85.459557
"1852",24692,44.846142,-93.232079
"1853",24703,33.649349,-111.858536
"1854",24718,49.354507,-124.412689
"1855",23815,42.755417,-75.666634
"1856",22936,35.264446,-81.669785
"1857",24562,48.558495,-121.413948
"1858",24793,38.921051,-77.038521
"1859",24799,40.171124,-105.1045
"1860",24806,40.672745,-122.292564
"1861",25008,32.263607,-106.825279
"1862",25009,49.356548,-124.414299
"1863",25010,49.359688,-124.413551
"1864",24514,44.963524,-93.157822
"1865",25041,38.426029,-78.923943
"1866",25086,37.361305,-122.130028
"1867",25093,47.000977,-94.697235
"1868",25151,30.321651,-89.936882
"1869",25161,39.828201,-98.579498
"1870",25165,33.996735,-84.419952
"1871",25168,30.320053,-89.935974
"1872",25178,39.550053,-105.782066
"1873",25182,41.913658,-87.71904
"1874",25202,38.864384,-82.600777
"1875",25207,37.362198,-122.13121
"1876",25024,37.760731,-77.477158
"1877",25066,33.667664,-79.830627
"1878",24998,40.321941,-124.285995
"1879",25242,48.482578,-122.593407
"1880",21774,44.555828,-94.222885
"1881",22467,30.1873,-93.249413
"1882",25268,37.3606,-122.13047
"1883",25271,39.984901,-74.755402
"1884",24072,37.923805,-122.07576
"1885",25265,36.130177,-86.79512
"1886",24160,39.560318,-76.283745
"1887",25297,38.192722,-85.524467
"1888",25291,29.036613,-81.303291
"1889",25325,37.401405,-79.887527
"1890",25104,42.636028,-87.828819
"1891",25364,36.131481,-86.794395
"1892",25367,36.132805,-86.793556
"1893",25257,27.664827,-81.515755
"1894",25193,41.913685,-87.714592
"1895",25188,41.913727,-87.710548
"1896",25194,41.913803,-87.707069
"1897",25279,36.130177,-86.79512
"1898",25083,36.162663,-86.781601
"1899",19935,40.414211,-76.5513
"1900",25424,42.286526,-72.653793
"1901",25196,41.913803,-87.70285
"1902",9695,29.371792,-95.19973
"1903",25084,36.130177,-86.79512
"1904",25442,38.856335,-77.234962
"1905",25462,36.08287,-86.965279
"1906",25467,39.993828,-75.239441
"1907",25295,36.130177,-86.79512
"1908",25472,36.130177,-86.79512
"1909",25464,42.515854,-83.094261
